"TFName","timepoint","n_positive_expression","n_negative_expression","n_total_positive_contrib","positive_expression_fraction","negative_expression_fraction","mean_contribution","median_contribution","global_positive_fraction","binomial_p_value","binomial_p_adj","difference_from_timepoint_global","expression_bias"
"IRF2","day_0",10,11,21,0.476190476190476,0.523809523809524,0.0151772861904762,0.015383959,0.515210540681373,0.828292611996939,1,-0.0390200644908966,"negative_expression_enriched"
"ZNF454","day_0",10,11,21,0.476190476190476,0.523809523809524,0.0127745232380952,0.011602458,0.515210540681373,0.828292611996939,1,-0.0390200644908966,"negative_expression_enriched"
"Runx1","day_0",102,93,195,0.523076923076923,0.476923076923077,0.0179384468615385,0.012991587,0.515210540681373,0.830283575550201,1,0.00786638239555038,"positive_expression_enriched"
"BACH2","day_0",48,43,91,0.527472527472527,0.472527472527473,0.0111628468351561,0.008389776,0.515210540681373,0.83457325142664,1,0.0122619867911544,"positive_expression_enriched"
"TEAD3","day_0",46,46,92,0.5,0.5,0.0168705521086957,0.012896508,0.515210540681373,0.834920518020811,1,-0.0152105406813726,"negative_expression_enriched"
"HOXA6","day_0",110,107,217,0.506912442396313,0.493087557603687,0.0101203525737121,0.008202962,0.515210540681373,0.838659253980947,1,-0.00829809828505967,"negative_expression_enriched"
"Msgn1","day_0",13,11,24,0.541666666666667,0.458333333333333,0.01574937075,0.0123058555,0.515210540681373,0.840600615625762,1,0.0264561259852943,"positive_expression_enriched"
"PAX3","day_0",13,11,24,0.541666666666667,0.458333333333333,0.00871132920833333,0.007634449,0.515210540681373,0.840600615625762,1,0.0264561259852943,"positive_expression_enriched"
"Stat5b","day_0",13,11,24,0.541666666666667,0.458333333333333,0.0157604073333333,0.0136702855,0.515210540681373,0.840600615625762,1,0.0264561259852943,"positive_expression_enriched"
"ARGFX","day_0",13,14,27,0.481481481481481,0.518518518518518,0.00671877785185185,0.003890753,0.515210540681373,0.847850101116434,1,-0.0337290591998916,"negative_expression_enriched"
"CEBPA","day_0",13,14,27,0.481481481481481,0.518518518518518,0.00579410927302608,0.003793192,0.515210540681373,0.847850101116434,1,-0.0337290591998916,"negative_expression_enriched"
"NRL","day_0",13,14,27,0.481481481481481,0.518518518518518,0.00896690337037037,0.008020813,0.515210540681373,0.847850101116434,1,-0.0337290591998916,"negative_expression_enriched"
"ZBTB24","day_0",13,14,27,0.481481481481481,0.518518518518518,0.0150937236296296,0.014148903,0.515210540681373,0.847850101116434,1,-0.0337290591998916,"negative_expression_enriched"
"TBX5","day_0",56,55,111,0.504504504504504,0.495495495495495,0.0106797075150382,0.008877158,0.515210540681373,0.849715209984558,1,-0.0107060361768686,"negative_expression_enriched"
"FOSL1::JUND","day_0",134,123,257,0.521400778210117,0.478599221789883,0.0115433542013199,0.009356976,0.515210540681373,0.851737964591856,1,0.00619023752874437,"positive_expression_enriched"
"HAND2","day_0",131,127,258,0.507751937984496,0.492248062015504,0.013228486499845,0.011974335,0.515210540681373,0.851821636399273,1,-0.00745860269687659,"negative_expression_enriched"
"Prdm14","day_0",15,16,31,0.483870967741935,0.516129032258065,0.0138129555349547,0.011762857,0.515210540681373,0.857781555030852,1,-0.0313395729394376,"negative_expression_enriched"
"BARX2","day_0",71,64,135,0.525925925925926,0.474074074074074,0.00931374596030261,0.006676541,0.515210540681373,0.863361680227934,1,0.0107153852445534,"positive_expression_enriched"
"ZNF740","day_0",74,72,146,0.506849315068493,0.493150684931507,0.0128465108561644,0.011590147,0.515210540681373,0.868670246318373,1,-0.00836122561287966,"negative_expression_enriched"
"TRPS1","day_0",18,18,36,0.5,0.5,0.00767962927777778,0.0061753985,0.515210540681373,0.869236682397235,1,-0.0152105406813726,"negative_expression_enriched"
"BHLHE22","day_0",188,180,368,0.510869565217391,0.489130434782609,0.0127456435027174,0.011676788,0.515210540681373,0.875799535159549,1,-0.0043409754639816,"negative_expression_enriched"
